fromNode,toNode,value,interaction,selfLoop,label,guid
Mitochondrion,Genetics,2,,False,,887
Metabolic Engineering,Bounded Function,2,,False,,888
Bounded Function,Flux Balance Analysis,2,,False,,889
Anaerobic Exercise,Biochemistry,6,,False,,89
Karush–Kuhn–Tucker Conditions,Mathematics,1,,False,,890
Karush–Kuhn–Tucker Conditions,Flux Balance Analysis,2,,False,,891
Epistasis And Functional Genomics,FluxBalanceAnalysis,2,,False,,892
Ketone Bodies,Mitochondrion,1,,False,,893
Ketone Bodies,FluxBalanceAnalysis,2,,False,,894
Biophysics,Model Organism,2,,False,,895
Population Model,Bioinformatics,2,,False,,896
Population Model,FluxBalanceAnalysis,2,,False,,897
Medicine,Metabolism,1,,False,,898
Medicine,FluxBalanceAnalysis,2,,False,,899
Computational Biology,Flux Balance Analysis,30,,False,,9
Anaerobic Exercise,Flux Balance Analysis,8,,False,,90
Regularization (mathematics),FluxBalanceAnalysis,2,,False,,900
Robust Control,Regularization (mathematics),1,,False,,901
Robust Control,FluxBalanceAnalysis,2,,False,,902
Metabolic Modeling,Metabolic FluxAnalysis,2,,False,,903
Metabolic Modeling,FluxBalanceAnalysis,2,,False,,904
Genetics,Natural Selection,2,,False,,905
Natural Selection,Flux Balance Analysis,2,,False,,906
Negative Selection,Metabolic Engineering,1,,False,,907
Negative Selection,Flux Balance Analysis,2,,False,,908
Metabolic Engineering,Chemical Industry,2,,False,,909
Herbivore,Ecology,1,,False,,91
Bioprocess,Mathematics,2,,False,,910
Flavin Group,Biology,2,,False,,911
Flavin Group,FluxBalanceAnalysis,2,,False,,912
Pentose Phosphate Pathway,Model Organism,2,,False,,913
Minimal Genome,Genetics,2,,False,,914
Minimal Genome,FluxBalanceAnalysis,2,,False,,915
Metabolic Engineering,Carbohydrate Metabolism,2,,False,,916
Carbohydrate Metabolism,FluxBalanceAnalysis,2,,False,,917
Protein Expression,FluxBalanceAnalysis,2,,False,,918
Randomness,Protein Expression,1,,False,,919
Herbivore,Flux Balance Analysis,2,,False,,92
Randomness,FluxBalanceAnalysis,2,,False,,920
Stringent Response,Recombinant DNA,2,,False,,921
Stringent Response,FluxBalanceAnalysis,2,,False,,922
Recombinant DNA,FluxBalanceAnalysis,2,,False,,923
Biochemistry,Drug Development,2,,False,,924
Drug Development,FluxBalanceAnalysis,2,,False,,925
Chemical Engineering,Flux BalanceAnalysis,2,,False,,926
Eubacterium Limosum,Chemical Engineering,1,,False,,927
Eubacterium Limosum,Flux BalanceAnalysis,2,,False,,928
Biophysics,Flux BalanceAnalysis,6,,False,,929
Gene Duplication,Genetics,4,,False,,93
Biomass Yield,Metabolic Network,2,,False,,930
Biomass Yield,Flux BalanceAnalysis,2,,False,,931
Convex Analysis,Chromatography,2,,False,,932
Convex Analysis,Flux BalanceAnalysis,2,,False,,933
Glycerol,Flux BalanceAnalysis,2,,False,,934
Klebsiella Pneumoniae,Glycerol,1,,False,,935
Klebsiella Pneumoniae,Flux BalanceAnalysis,2,,False,,936
Biomarker (medicine),Bioinformatics,4,,False,,937
Electronic Engineering,Computer Science,2,,False,,938
Electronic Engineering,Flux BalanceAnalysis,2,,False,,939
Gene Duplication,Flux Balance Analysis,4,,False,,94
Microarray Analysis Techniques,Flux BalanceAnalysis,2,,False,,940
Physiology,Biology,2,,False,,941
Physiology,Flux BalanceAnalysis,2,,False,,942
Biology,Machine Learning,2,,False,,943
Modeling And Simulation,Flux BalanceAnalysis,1,,False,,944
Supercomputer,Flux BalanceAnalysis,1,,False,,945
Supercomputer,Modeling And Simulation,1,,False,,946
Ecology,Glycolysis,2,,False,,947
Metabolic Age,Genetics,2,,False,,948
Metabolic Age,Flux BalanceAnalysis,2,,False,,949
Computer Science,Metabolic Engineering,21,,False,,95
Metagenomics,Computational Biology,2,,False,,950
Integer,Metabolic Engineering,2,,False,,951
Integer,Flux BalanceAnalysis,2,,False,,952
Petri Net,Computer Science,2,,False,,953
Petri Net,Flux BalanceAnalysis,4,,False,,954
Nitrogen Cycle,Flux BalanceAnalysis,4,,False,,955
Ecology,Obligate,2,,False,,956
Obligate,Flux BalanceAnalysis,2,,False,,957
Cascade,Mathematics,1,,False,,958
Cascade,Flux BalanceAnalysis,2,,False,,959
Computer Science,Flux Balance Analysis,56,,False,,96
Linear System,Flux BalanceAnalysis,2,,False,,960
Lipschitz Continuity,Linear System,1,,False,,961
Lipschitz Continuity,Flux BalanceAnalysis,2,,False,,962
Biological Dispersal,Genetics,2,,False,,963
Biological Dispersal,Flux Balance Analysis,2,,False,,964
Pentose Phosphate Pathway,Personalized Medicine,2,,False,,965
Personalized Medicine,Flux Balance Analysis,2,,False,,966
Renewable Fuels,Biochemistry,2,,False,,967
Phenome,Metabolic FluxAnalysis,1,,False,,968
Phenome,Flux Balance Analysis,2,,False,,969
Glycolysis,Biochemistry,10,,False,,97
Biological Hydrogen Production,Flux Balance Analysis,1,,False,,970
Hydrogenase,Flux Balance Analysis,1,,False,,971
Hydrogenase,Biological Hydrogen Production,1,,False,,972
Energy Charge,Metabolic Engineering,2,,False,,973
Energy Charge,Flux Balance Analysis,2,,False,,974
Mathematics,Simulation,2,,False,,975
Simulation,Flux Balance Analysis,2,,False,,976
Genetic Algorithm,Biology,2,,False,,977
Extracellular,Biochemistry,4,,False,,978
Synthetic Biology,FluxBalanceAnalysis,2,,False,,979
Glycolysis,Flux Balance Analysis,14,,False,,98
Algae Fuel,Synthetic Biology,1,,False,,980
Algae Fuel,FluxBalanceAnalysis,2,,False,,981
Integer,Visualization,2,,False,,982
Symbiosis,Botany,2,,False,,983
Mixed Acid Fermentation,Biochemistry,2,,False,,984
Mixed Acid Fermentation,FluxBalanceAnalysis,2,,False,,985
FluxBalanceAnalysis,Metabolic Control Analysis,2,,False,,986
Systems Biology,Metabolic Control Analysis,2,,False,,987
Bacterial Growth,Computational Biology,2,,False,,988
Mathematical Optimization,Experimental Data,1,,False,,989
Ecology,Thermophile,2,,False,,99
Mathematical Optimization,FluxBalanceAnalysis,2,,False,,990
Ethanol Fermentation,Biochemistry,1,,False,,991
Ethanol Fermentation,FluxBalanceAnalysis,2,,False,,992
Computational Biology,Transcription Factor,2,,False,,993
Elasticity Coefficient,Biophysics,1,,False,,994
Elasticity Coefficient,FluxBalanceAnalysis,2,,False,,995
Visualization,Genetics,2,,False,,996
Ecology,Flux (metallurgy),2,,False,,997
Metabolic Engineering,Mathematics,2,,False,,998
Geometric Programming,Computer Science,2,,False,,999
